Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [1][300/11269]	Loss 1.5242 (1.5983)	Prec 0.4587
Epoch: [1][400/11269]	Loss 1.6584 (1.5948)	Prec 0.4561
Epoch: [1][500/11269]	Loss 1.7014 (1.6002)	Prec 0.4672
Epoch: [1][600/11269]	Loss 1.8143 (1.6101)	Prec 0.4514
Epoch: [1][700/11269]	Loss 1.6289 (1.6101)	Prec 0.4637
Epoch: [1][800/11269]	Loss 1.7368 (1.6074)	Prec 0.4648
Epoch: [1][900/11269]	Loss 1.5276 (1.6032)	Prec 0.4692
Epoch: [1][1000/11269]	Loss 1.3993 (1.5973)	Prec 0.4681
Epoch: [1][1100/11269]	Loss 1.5365 (1.5936)	Prec 0.4612
Epoch: [1][1200/11269]	Loss 1.3130 (1.5898)	Prec 0.4473
Epoch: [1][1300/11269]	Loss 1.5172 (1.5871)	Prec 0.4542
Epoch: [1][1400/11269]	Loss 1.6159 (1.5865)	Prec 0.4523
Epoch: [1][1500/11269]	Loss 1.4759 (1.5829)	Prec 0.4600
Epoch: [1][1600/11269]	Loss 1.2853 (1.5814)	Prec 0.4537
Epoch: [1][1700/11269]	Loss 1.5836 (1.5798)	Prec 0.4548
Epoch: [1][1800/11269]	Loss 1.6051 (1.5785)	Prec 0.4547
Epoch: [1][1900/11269]	Loss 1.6725 (1.5746)	Prec 0.4656
Epoch: [1][2000/11269]	Loss 1.6952 (1.5737)	Prec 0.4719
Epoch: [1][2100/11269]	Loss 1.5981 (1.5707)	Prec 0.4750
Epoch: [1][2200/11269]	Loss 1.6029 (1.5683)	Prec 0.4600
Epoch: [1][2300/11269]	Loss 1.6812 (1.5672)	Prec 0.4639
Epoch: [1][2400/11269]	Loss 1.7073 (1.5675)	Prec 0.4625
Epoch: [1][2500/11269]	Loss 1.5310 (1.5650)	Prec 0.4637
Epoch: [1][2600/11269]	Loss 1.7270 (1.5636)	Prec 0.4633
Epoch: [1][2700/11269]	Loss 1.6747 (1.5621)	Prec 0.4602
Epoch: [1][2800/11269]	Loss 1.3449 (1.5611)	Prec 0.4677
Epoch: [1][2900/11269]	Loss 1.7309 (1.5609)	Prec 0.4664
Epoch: [1][3000/11269]	Loss 1.7336 (1.5600)	Prec 0.4630
Epoch: [1][3100/11269]	Loss 1.2352 (1.5588)	Prec 0.4633
Epoch: [1][3200/11269]	Loss 1.7115 (1.5572)	Prec 0.4705
Epoch: [1][3300/11269]	Loss 1.2827 (1.5557)	Prec 0.4703
Epoch: [1][3400/11269]	Loss 1.6585 (1.5543)	Prec 0.4658
Epoch: [1][3500/11269]	Loss 1.6056 (1.5529)	Prec 0.4673
Epoch: [1][3600/11269]	Loss 1.5156 (1.5522)	Prec 0.4606
Epoch: [1][3700/11269]	Loss 1.5854 (1.5516)	Prec 0.4655
Epoch: [1][3800/11269]	Loss 1.3161 (1.5507)	Prec 0.4706
Epoch: [1][3900/11269]	Loss 1.4378 (1.5494)	Prec 0.4683
Epoch: [1][4000/11269]	Loss 1.4760 (1.5485)	Prec 0.4658
Epoch: [1][4100/11269]	Loss 1.5503 (1.5471)	Prec 0.4717
Epoch: [1][4200/11269]	Loss 1.6640 (1.5463)	Prec 0.4617
Epoch: [1][4300/11269]	Loss 1.5171 (1.5452)	Prec 0.4688
Epoch: [1][4400/11269]	Loss 1.3453 (1.5444)	Prec 0.4673
Epoch: [1][4500/11269]	Loss 1.3912 (1.5435)	Prec 0.4667
Epoch: [1][4600/11269]	Loss 1.5644 (1.5434)	Prec 0.4662
Epoch: [1][4700/11269]	Loss 1.3764 (1.5427)	Prec 0.4662
Epoch: [1][4800/11269]	Loss 1.6432 (1.5427)	Prec 0.4592
Epoch: [1][4900/11269]	Loss 1.5282 (1.5420)	Prec 0.4681
Epoch: [1][5000/11269]	Loss 1.4633 (1.5411)	Prec 0.4670
Epoch: [1][5100/11269]	Loss 1.6029 (1.5409)	Prec 0.4617
Epoch: [1][5200/11269]	Loss 1.4607 (1.5407)	Prec 0.4725
Epoch: [1][5300/11269]	Loss 1.6513 (1.5399)	Prec 0.4727
Epoch: [1][5400/11269]	Loss 1.4350 (1.5389)	Prec 0.4769
Epoch: [1][5500/11269]	Loss 1.5014 (1.5381)	Prec 0.4744
Epoch: [1][5600/11269]	Loss 1.3844 (1.5373)	Prec 0.4686
Epoch: [1][5700/11269]	Loss 1.4543 (1.5369)	Prec 0.4653
Epoch: [1][5800/11269]	Loss 1.4843 (1.5365)	Prec 0.4664
Epoch: [1][5900/11269]	Loss 1.5638 (1.5363)	Prec 0.4700
Epoch: [1][6000/11269]	Loss 1.6586 (1.5358)	Prec 0.4686
Epoch: [1][6100/11269]	Loss 1.4728 (1.5355)	Prec 0.4714
Epoch: [1][6200/11269]	Loss 1.3976 (1.5350)	Prec 0.4684
Epoch: [1][6300/11269]	Loss 1.4221 (1.5347)	Prec 0.4681
Epoch: [1][6400/11269]	Loss 1.5398 (1.5348)	Prec 0.4672
Epoch: [1][6500/11269]	Loss 1.5537 (1.5354)	Prec 0.4680
Epoch: [1][6600/11269]	Loss 1.7896 (1.5364)	Prec 0.4684
Epoch: [1][6700/11269]	Loss 1.8382 (1.5375)	Prec 0.4686
Epoch: [1][6800/11269]	Loss 1.7445 (1.5390)	Prec 0.4637
Epoch: [1][6900/11269]	Loss 1.6223 (1.5395)	Prec 0.4672
Epoch: [1][7000/11269]	Loss 1.4778 (1.5400)	Prec 0.4677
Epoch: [1][7100/11269]	Loss 1.4579 (1.5398)	Prec 0.4706
Epoch: [1][7200/11269]	Loss 1.4946 (1.5393)	Prec 0.4773
Epoch: [1][7300/11269]	Loss 1.6314 (1.5388)	Prec 0.4816
Epoch: [1][7400/11269]	Loss 1.5779 (1.5386)	Prec 0.4870
Epoch: [1][7500/11269]	Loss 1.6524 (1.5386)	Prec 0.4813
Epoch: [1][7600/11269]	Loss 1.6245 (1.5385)	Prec 0.4725
Epoch: [1][7700/11269]	Loss 1.5238 (1.5381)	Prec 0.4803
Epoch: [1][7800/11269]	Loss 1.6286 (1.5378)	Prec 0.4639
Epoch: [1][7900/11269]	Loss 1.6069 (1.5371)	Prec 0.4773
Epoch: [1][8000/11269]	Loss 1.4693 (1.5366)	Prec 0.4705
Epoch: [1][8100/11269]	Loss 1.5936 (1.5361)	Prec 0.4616
Epoch: [1][8200/11269]	Loss 1.3446 (1.5354)	Prec 0.4781
Epoch: [1][8300/11269]	Loss 1.4130 (1.5353)	Prec 0.4587
Epoch: [1][8400/11269]	Loss 1.4846 (1.5346)	Prec 0.4855
Epoch: [1][8500/11269]	Loss 1.5048 (1.5341)	Prec 0.4706
Epoch: [1][8600/11269]	Loss 1.6095 (1.5342)	Prec 0.4745
Epoch: [1][8700/11269]	Loss 1.4424 (1.5352)	Prec 0.4658
